Número de identificação da publicação;Link permanente;Publicar mensagem;Tipo;Países;Idiomas;Publicado;Direcionamento do público;Lifetime Post Total Reach;Lifetime Post organic reach;Lifetime Post Paid Reach;Lifetime Post Total Impressions;Lifetime Post Organic Impressions;Lifetime Post Paid Impressions;Lifetime Engaged Users;Lifetime Matched Audience Targeting Consumers on Post;Lifetime Matched Audience Targeting Consumptions on Post;Lifetime Negative Feedback from Users;Lifetime Negative Feedback;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime Post Paid Impressions by people who have liked your Page;Lifetime Paid reach of a post by people who like your Page;Lifetime People who have liked your Page and engaged with your post;Lifetime Organic views to 95%...25;Lifetime Organic views to 95%...26;Lifetime Paid views to 95%...27;Lifetime Paid views to 95%...28;Lifetime Organic Video Views...29;Lifetime Organic Video Views...30;Lifetime Paid Video Views...31;Lifetime Paid Video Views...32;Lifetime Average time video viewed;Lifetime Video length;Descrição;share;like;comment
417092451820846_461600574036700;https://www.facebook.com/lojascitycol/photos/a.418868384976586/461600574036700/?type=3;Que o inverno venha com muito estilo! Um bom jeito de arrasar na estação é montando os seus looks Citycol favoritos. Dá um olhada no que temos de novidades em todas as lojas nesta 5a feira: http://bit.ly/1quxyb9  #NaCitycolTem;Photo;NA;NA;2016-04-06T10:56:54Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;80;9802;101
417092451820846_461593024037455;https://www.facebook.com/lojascitycol/photos/a.461593014037456/461593024037455/?type=3;Baby Look R$ 15,99 Tamanhos P M G GG Cod.: 871822  Calça Jeans R$49,99 Tamanhos 40 42 44 46 Cod.: 977002;Photo;NA;NA;2016-04-06T10:48:19Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;25;NA
417092451820846_457963911067033;https://www.facebook.com/lojascitycol/photos/a.418868384976586/457963911067033/?type=3;Preparada para o inverno? Então aguarde a nossa coleção que está chegando com tudo especialmente para essa estação. Fique ligada!  #NaCitycolTem;Photo;NA;NA;2016-03-29T15:48:56Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;10;1717;13
417092451820846_454229938107097;https://www.facebook.com/lojascitycol/photos/a.418868384976586/454229938107097/?type=3;Quer novidade na moda toda semana? Cola com a gente e confira toda quinta-feira nas lojas o que temos de novo para você ousar! #NaCitycolTem⁠⁠⁠⁠;Photo;NA;NA;2016-03-22T13:22:51Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;37;2396;32
417092451820846_451926005004157;https://www.facebook.com/lojascitycol/photos/a.418868384976586/451926005004157/?type=3;Tem mais novidade na Citycol! A coleção Meia Estação já está em todas as lojas, que tal conferir? Corra e garanta seu look 😉 Confira no link: https://goo.gl/wWU8P0   #nacitycoltem;Photo;NA;NA;2016-03-16T09:23:36Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;67;5036;124
417092451820846_451924655004292;https://www.facebook.com/lojascitycol/photos/a.451924638337627/451924655004292/?type=3;Kaftan R$22,99 Tamanhos P M G Cód.: 876796  Legging R$19,99 Tamanhos  P M G GG Cód.: 819641;Photo;NA;NA;2016-03-16T09:18:33Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;50;1
417092451820846_447553745441383;https://www.facebook.com/lojascitycol/photos/a.418868384976586/447553745441383/?type=3;Nova estação, novos looks! A coleção de Outono já está disponível em todas as lojas Citycol, dá uma conferida nas novidades maravilhosas que preparamos para você: on.fb.me/21a0FvB  #nacitycoltem;Photo;NA;NA;2016-03-03T10:40:41Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;45;3726;35
417092451820846_447538975442860;https://www.facebook.com/lojascitycol/photos/a.447538952109529/447538975442860/?type=3;Croped Tam: P M G  R$ 17,99 Cód.: 876453;Photo;NA;NA;2016-03-03T09:52:39Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;25;1
417092451820846_445812612282163;https://www.facebook.com/lojascitycol/videos/445812612282163/;Maria Joana em Duque de Caxias para lançamento da Coleção Lojas Citycol;Video;NA;NA;2016-02-26T14:09:25Z;NA;16286;15244;0;20793;19055;0;2405;2225;2427;2;2;6103;3900;0;0;904;3654;3806;0;0;6081;6643;0;0;0;15394;NA;10;279;10
417092451820846_445789305617827;https://www.facebook.com/lojascitycol/photos/a.418868384976586/445789305617827/?type=3;O lançamento da nova coleção foi um sucesso! Corre aqui para ver o que nós e a Maria Joana aprontamos na Citycol Duque de Caxias, você vai adorar.  #nacitycoltem Álbum: on.fb.me/1oEWM5p Vídeo: on.fb.me/1Q9amY5;Photo;NA;NA;2016-02-26T12:11:41Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;25;3854;50
